"search-number","evaluation","evals-requested-so-far","number-of-leaves*","wind-factor*","temperature*","rain-intensity*","sun-intensity*","start-sugar-mean*","start-sugar-stddev*","leaf-display-mode*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","150","2377","2","9","8","41","55","22","""attachedness""","""729150651""","0","0","0","0","0"
"1","2","150","2377","2","9","8","41","55","22","""attachedness""","""542219904""","0","0","0","0","0"
"1","3","150","2377","2","9","8","41","55","22","""attachedness""","""-1788768566""","0","0","0","0","0"
"1","4","150","1574","1","21","20","80","84","26","""attachedness""","""-781938372""","248","248","248","0","248"
"1","5","150","1574","1","21","20","80","84","26","""attachedness""","""290975873""","262","262","262","0","262"
"1","6","150","1574","1","21","20","80","84","26","""attachedness""","""1542581102""","254","254","254","0","254"
"1","7","150","468","8","30","21","63","2","24","""solid""","""1996450091""","0","0","0","0","0"
"1","8","150","468","8","30","21","63","2","24","""solid""","""121597786""","0","0","0","0","0"
"1","9","150","468","8","30","21","63","2","24","""solid""","""1959228459""","0","0","0","0","0"
"1","10","150","820","0","14","0","0","24","50","""chlorophyll""","""1271146809""","814","814","814","0","814"
"1","11","150","820","0","14","0","0","24","50","""chlorophyll""","""209938856""","817","817","817","0","817"
"1","12","150","820","0","14","0","0","24","50","""chlorophyll""","""-235711647""","817","817","817","0","817"
"1","13","150","2461","4","23","4","27","69","14","""sugar""","""-686554382""","1353","1353","1353","0","1353"
"1","14","150","2461","4","23","4","27","69","14","""sugar""","""814564432""","1369","1369","1369","0","1369"
"1","15","150","2461","4","23","4","27","69","14","""sugar""","""2069455879""","1326","1326","1326","0","1326"
"1","16","150","1668","9","34","8","52","46","46","""anthocyanin""","""-1445609360""","0","0","0","0","0"
"1","17","150","1668","9","34","8","52","46","46","""anthocyanin""","""1071001648""","0","0","0","0","0"
"1","18","150","1668","9","34","8","52","46","46","""anthocyanin""","""1179637732""","0","0","0","0","0"
"1","19","150","704","0","4","5","69","90","19","""solid""","""-524874311""","627","627","627","0","627"
"1","20","150","704","0","4","5","69","90","19","""solid""","""1698383913""","626","626","626","0","626"
"1","21","150","704","0","4","5","69","90","19","""solid""","""1302209568""","622","622","622","0","622"
"1","22","150","1650","7","9","12","87","93","38","""attachedness""","""1364952413""","0","0","0","0","0"
"1","23","150","1650","7","9","12","87","93","38","""attachedness""","""986087704""","0","0","0","0","0"
"1","24","150","1650","7","9","12","87","93","38","""attachedness""","""-326678057""","0","0","0","0","0"
"1","25","150","1687","2","9","12","100","14","14","""attachedness""","""345589724""","0","0","0","0","0"
"1","26","150","1687","2","9","12","100","14","14","""attachedness""","""-1447885279""","0","0","0","0","0"
"1","27","150","1687","2","9","12","100","14","14","""attachedness""","""1638020023""","0","0","0","0","0"
"1","28","150","1772","6","31","0","26","82","39","""attachedness""","""-1227717359""","0","0","0","0","0"
"1","29","150","1772","6","31","0","26","82","39","""attachedness""","""-873198469""","0","0","0","0","0"
"1","30","150","1772","6","31","0","26","82","39","""attachedness""","""-1812818635""","0","0","0","0","0"
"1","31","150","2048","9","17","1","71","68","7","""sugar""","""-1855308648""","0","0","0","0","0"
"1","32","150","2048","9","17","1","71","68","7","""sugar""","""-602974550""","0","0","0","0","0"
"1","33","150","2048","9","17","1","71","68","7","""sugar""","""-637916492""","0","0","0","0","0"
"1","34","150","1932","3","32","13","51","19","46","""attachedness""","""-515233288""","10","10","10","0","10"
"1","35","150","1932","3","32","13","51","19","46","""attachedness""","""1524787387""","10","10","10","0","10"
"1","36","150","1932","3","32","13","51","19","46","""attachedness""","""-551553931""","11","11","11","0","11"
"1","37","150","1934","3","12","23","72","90","22","""solid""","""1938341732""","0","0","0","0","0"
"1","38","150","1934","3","12","23","72","90","22","""solid""","""-597760207""","0","0","0","0","0"
"1","39","150","1934","3","12","23","72","90","22","""solid""","""1574379766""","0","0","0","0","0"
"1","40","150","2454","2","16","7","94","79","7","""solid""","""1130242701""","0","0","0","0","0"
"1","41","150","2454","2","16","7","94","79","7","""solid""","""1765645795""","0","0","0","0","0"
"1","42","150","2454","2","16","7","94","79","7","""solid""","""-860407770""","0","0","0","0","0"
"1","43","150","1506","9","19","1","30","71","31","""solid""","""957759209""","0","0","0","0","0"
"1","44","150","1506","9","19","1","30","71","31","""solid""","""1690704644""","0","0","0","0","0"
"1","45","150","1506","9","19","1","30","71","31","""solid""","""871844751""","0","0","0","0","0"
