"search-number","evaluation","evals-requested-so-far","number-of-leaves*","wind-factor*","temperature*","rain-intensity*","sun-intensity*","start-sugar-mean*","start-sugar-stddev*","leaf-display-mode*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","48","2377","2","9","8","41","55","22","""attachedness""","""2036366224""","0","0","0","0","0"
"1","2","48","2377","2","9","8","41","55","22","""attachedness""","""-919254785""","0","0","0","0","0"
"1","3","48","2377","2","9","8","41","55","22","""attachedness""","""67060958""","0","0","0","0","0"
"1","4","48","1574","1","21","20","80","84","26","""attachedness""","""770011943""","292","292","292","0","292"
"1","5","48","1574","1","21","20","80","84","26","""attachedness""","""-1600289268""","233","233","233","0","233"
"1","6","48","1574","1","21","20","80","84","26","""attachedness""","""-482845693""","273","273","273","0","273"
"1","7","48","468","8","30","21","63","2","24","""solid""","""927573121""","0","0","0","0","0"
"1","8","48","468","8","30","21","63","2","24","""solid""","""24212015""","0","0","0","0","0"
"1","9","48","468","8","30","21","63","2","24","""solid""","""-1195509377""","0","0","0","0","0"
"1","10","48","820","0","14","0","0","24","50","""chlorophyll""","""-2044696438""","815","815","815","0","815"
"1","11","48","820","0","14","0","0","24","50","""chlorophyll""","""707977155""","816","816","816","0","816"
"1","12","48","820","0","14","0","0","24","50","""chlorophyll""","""1522278576""","815","815","815","0","815"
"1","13","48","2461","4","23","4","27","69","14","""sugar""","""1445158572""","1357","1357","1357","0","1357"
"1","14","48","2461","4","23","4","27","69","14","""sugar""","""-1311452063""","1387","1387","1387","0","1387"
"1","15","48","2461","4","23","4","27","69","14","""sugar""","""926762005""","1354","1354","1354","0","1354"
"1","16","48","1668","9","34","8","52","46","46","""anthocyanin""","""-1846413404""","0","0","0","0","0"
"1","17","48","1668","9","34","8","52","46","46","""anthocyanin""","""-296704177""","0","0","0","0","0"
"1","18","48","1668","9","34","8","52","46","46","""anthocyanin""","""1355441900""","0","0","0","0","0"
"1","19","48","704","0","4","5","69","90","19","""solid""","""1620983414""","607","607","607","0","607"
"1","20","48","704","0","4","5","69","90","19","""solid""","""883040829""","629","629","629","0","629"
"1","21","48","704","0","4","5","69","90","19","""solid""","""810412357""","629","629","629","0","629"
"1","22","48","1650","7","9","12","87","93","38","""attachedness""","""1626448759""","0","0","0","0","0"
"1","23","48","1650","7","9","12","87","93","38","""attachedness""","""221478994""","0","0","0","0","0"
"1","24","48","1650","7","9","12","87","93","38","""attachedness""","""209566709""","0","0","0","0","0"
"1","25","48","1687","2","9","12","100","14","14","""attachedness""","""589961646""","0","0","0","0","0"
"1","26","48","1687","2","9","12","100","14","14","""attachedness""","""1133473525""","0","0","0","0","0"
"1","27","48","1687","2","9","12","100","14","14","""attachedness""","""40579485""","0","0","0","0","0"
"1","28","48","1772","6","31","0","26","82","39","""attachedness""","""2037770402""","0","0","0","0","0"
"1","29","48","1772","6","31","0","26","82","39","""attachedness""","""-1743587887""","0","0","0","0","0"
"1","30","48","1772","6","31","0","26","82","39","""attachedness""","""1046677690""","0","0","0","0","0"
"1","31","48","2048","9","17","1","71","68","7","""sugar""","""-1615885715""","0","0","0","0","0"
"1","32","48","2048","9","17","1","71","68","7","""sugar""","""-699049986""","0","0","0","0","0"
"1","33","48","2048","9","17","1","71","68","7","""sugar""","""-1645040759""","0","0","0","0","0"
"1","34","48","1932","3","32","13","51","19","46","""attachedness""","""1866721135""","11","11","11","0","11"
"1","35","48","1932","3","32","13","51","19","46","""attachedness""","""-90789109""","12","12","12","0","12"
"1","36","48","1932","3","32","13","51","19","46","""attachedness""","""-70250638""","11","11","11","0","11"
"1","37","48","1934","3","12","23","72","90","22","""solid""","""-853703149""","0","0","0","0","0"
"1","38","48","1934","3","12","23","72","90","22","""solid""","""-125490737""","0","0","0","0","0"
"1","39","48","1934","3","12","23","72","90","22","""solid""","""637662780""","0","0","0","0","0"
"1","40","48","2454","2","16","7","94","79","7","""solid""","""125860698""","0","0","0","0","0"
"1","41","48","2454","2","16","7","94","79","7","""solid""","""-1947256129""","0","0","0","0","0"
"1","42","48","2454","2","16","7","94","79","7","""solid""","""-1199229633""","0","0","0","0","0"
"1","43","48","1506","9","19","1","30","71","31","""solid""","""-1928040765""","0","0","0","0","0"
"1","44","48","1506","9","19","1","30","71","31","""solid""","""1412647035""","0","0","0","0","0"
"1","45","48","1506","9","19","1","30","71","31","""solid""","""783589844""","0","0","0","0","0"
"1","46","48","1937","5","34","22","15","49","7","""water""","""-657086493""","0","0","0","0","0"
"1","47","48","1937","5","34","22","15","49","7","""water""","""535630718""","0","0","0","0","0"
"1","48","48","1937","5","34","22","15","49","7","""water""","""785496808""","0","0","0","0","0"
"1","49","96","580","4","36","28","99","83","44","""solid""","""-1535611341""","0","0","0","0","0"
"1","50","96","580","4","36","28","99","83","44","""solid""","""1042902717""","0","0","0","0","0"
"1","51","96","580","4","36","28","99","83","44","""solid""","""-1064215661""","0","0","0","0","0"
"1","52","96","2010","5","5","22","30","86","33","""solid""","""356419076""","0","0","0","0","0"
"1","53","96","2010","5","5","22","30","86","33","""solid""","""-691241239""","0","0","0","0","0"
"1","54","96","2010","5","5","22","30","86","33","""solid""","""-192609653""","0","0","0","0","0"
"1","55","96","1018","4","30","21","0","99","49","""carotene""","""-1712439401""","0","0","0","0","0"
"1","56","96","1018","4","30","21","0","99","49","""carotene""","""1788341697""","0","0","0","0","0"
"1","57","96","1018","4","30","21","0","99","49","""carotene""","""69582813""","0","0","0","0","0"
"1","58","96","2302","3","7","19","86","87","30","""carotene""","""1488306302""","0","0","0","0","0"
"1","59","96","2302","3","7","19","86","87","30","""carotene""","""-1772204833""","0","0","0","0","0"
"1","60","96","2302","3","7","19","86","87","30","""carotene""","""-1325564156""","0","0","0","0","0"
"1","61","96","2009","0","39","0","30","15","46","""carotene""","""-798429186""","0","0","0","0","0"
"1","62","96","2009","0","39","0","30","15","46","""carotene""","""847142510""","0","0","0","0","0"
"1","63","96","2009","0","39","0","30","15","46","""carotene""","""1690643721""","0","0","0","0","0"
"1","64","96","1740","9","23","29","9","72","16","""carotene""","""1116545789""","0","0","0","0","0"
"1","65","96","1740","9","23","29","9","72","16","""carotene""","""939535623""","0","0","0","0","0"
"1","66","96","1740","9","23","29","9","72","16","""carotene""","""-2132185576""","0","0","0","0","0"
"1","67","96","1748","4","20","2","59","37","23","""anthocyanin""","""-1101657067""","976","976","976","0","976"
"1","68","96","1748","4","20","2","59","37","23","""anthocyanin""","""1689859090""","993","993","993","0","993"
"1","69","96","1748","4","20","2","59","37","23","""anthocyanin""","""-1299712417""","975","975","975","0","975"
"1","70","96","2426","4","2","5","98","84","38","""carotene""","""745318235""","0","0","0","0","0"
"1","71","96","2426","4","2","5","98","84","38","""carotene""","""609181543""","0","0","0","0","0"
"1","72","96","2426","4","2","5","98","84","38","""carotene""","""-430800913""","0","0","0","0","0"
"1","73","96","1711","1","36","19","100","81","0","""water""","""1250982981""","0","0","0","0","0"
"1","74","96","1711","1","36","19","100","81","0","""water""","""-620643161""","0","0","0","0","0"
"1","75","96","1711","1","36","19","100","81","0","""water""","""-785208717""","0","0","0","0","0"
"1","76","96","1578","2","22","21","89","70","18","""chlorophyll""","""-1739239738""","0","0","0","0","0"
"1","77","96","1578","2","22","21","89","70","18","""chlorophyll""","""-1598104482""","0","0","0","0","0"
"1","78","96","1578","2","22","21","89","70","18","""chlorophyll""","""1403870547""","0","0","0","0","0"
"1","79","96","1737","10","17","25","20","68","35","""attachedness""","""-1554581934""","0","0","0","0","0"
"1","80","96","1737","10","17","25","20","68","35","""attachedness""","""-337853360""","0","0","0","0","0"
"1","81","96","1737","10","17","25","20","68","35","""attachedness""","""291115650""","0","0","0","0","0"
"1","82","96","377","2","21","13","20","100","45","""solid""","""96221838""","0","0","0","0","0"
"1","83","96","377","2","21","13","20","100","45","""solid""","""1100022857""","0","0","0","0","0"
"1","84","96","377","2","21","13","20","100","45","""solid""","""-1948600145""","0","0","0","0","0"
"1","85","96","1370","4","15","18","50","98","40","""solid""","""2002408183""","5","5","5","0","5"
"1","86","96","1370","4","15","18","50","98","40","""solid""","""1933973136""","3","3","3","0","3"
"1","87","96","1370","4","15","18","50","98","40","""solid""","""-715641724""","2","2","2","0","2"
"1","88","96","401","1","20","23","84","75","50","""solid""","""1111515231""","0","0","0","0","0"
"1","89","96","401","1","20","23","84","75","50","""solid""","""484096396""","2","2","2","0","2"
"1","90","96","401","1","20","23","84","75","50","""solid""","""1011840476""","1","1","1","0","1"
"1","91","96","245","10","14","4","94","77","1","""water""","""847988919""","0","0","0","0","0"
"1","92","96","245","10","14","4","94","77","1","""water""","""1874518663""","0","0","0","0","0"
"1","93","96","245","10","14","4","94","77","1","""water""","""2010537693""","0","0","0","0","0"
"1","94","96","1414","1","27","14","17","15","36","""chlorophyll""","""1399099935""","0","0","0","0","0"
"1","95","96","1414","1","27","14","17","15","36","""chlorophyll""","""-20560383""","0","0","0","0","0"
"1","96","96","1414","1","27","14","17","15","36","""chlorophyll""","""-1802857840""","0","0","0","0","0"
"1","97","144","2067","0","16","24","95","70","4","""solid""","""-1037760330""","2027","2027","2027","0","2027"
"1","98","144","2067","0","16","24","95","70","4","""solid""","""-1845665441""","2023","2023","2023","0","2023"
"1","99","144","2067","0","16","24","95","70","4","""solid""","""-117013184""","2024","2024","2024","0","2024"
