"search-number","evaluation","number-of-leaves*","wind-factor*","temperature*","rain-intensity*","sun-intensity*","start-sugar-mean*","start-sugar-stddev*","leaf-display-mode*","fitness","num-replicates","best-fitness-so-far"
"1","3","2377","2","9","8","41","55","22","""attachedness""","0","3","0"
"1","6","1574","1","21","20","80","84","26","""attachedness""","266","3","266"
"1","9","468","8","30","21","63","2","24","""solid""","0","3","266"
"1","12","820","0","14","0","0","24","50","""chlorophyll""","815.3333333333334","3","815.3333333333334"
"1","15","2461","4","23","4","27","69","14","""sugar""","1366","3","1366"
"1","18","1668","9","34","8","52","46","46","""anthocyanin""","0","3","1366"
"1","21","704","0","4","5","69","90","19","""solid""","621.6666666666666","3","1366"
"1","24","1650","7","9","12","87","93","38","""attachedness""","0","3","1366"
"1","27","1687","2","9","12","100","14","14","""attachedness""","0","3","1366"
"1","30","1772","6","31","0","26","82","39","""attachedness""","0","3","1366"
"1","33","2048","9","17","1","71","68","7","""sugar""","0","3","1366"
"1","36","1932","3","32","13","51","19","46","""attachedness""","11.333333333333334","3","1366"
"1","39","1934","3","12","23","72","90","22","""solid""","0","3","1366"
"1","42","2454","2","16","7","94","79","7","""solid""","0","3","1366"
"1","45","1506","9","19","1","30","71","31","""solid""","0","3","1366"
"1","48","1937","5","34","22","15","49","7","""water""","0","3","1366"
"1","51","580","4","36","28","99","83","44","""solid""","0","3","1366"
"1","54","2010","5","5","22","30","86","33","""solid""","0","3","1366"
"1","57","1018","4","30","21","0","99","49","""carotene""","0","3","1366"
"1","60","2302","3","7","19","86","87","30","""carotene""","0","3","1366"
"1","63","2009","0","39","0","30","15","46","""carotene""","0","3","1366"
"1","66","1740","9","23","29","9","72","16","""carotene""","0","3","1366"
"1","69","1748","4","20","2","59","37","23","""anthocyanin""","981.3333333333334","3","1366"
"1","72","2426","4","2","5","98","84","38","""carotene""","0","3","1366"
"1","75","1711","1","36","19","100","81","0","""water""","0","3","1366"
"1","78","1578","2","22","21","89","70","18","""chlorophyll""","0","3","1366"
"1","81","1737","10","17","25","20","68","35","""attachedness""","0","3","1366"
"1","84","377","2","21","13","20","100","45","""solid""","0","3","1366"
"1","87","1370","4","15","18","50","98","40","""solid""","3.3333333333333335","3","1366"
"1","90","401","1","20","23","84","75","50","""solid""","1","3","1366"
"1","93","245","10","14","4","94","77","1","""water""","0","3","1366"
"1","96","1414","1","27","14","17","15","36","""chlorophyll""","0","3","1366"
"1","99","2067","0","16","24","95","70","4","""solid""","2024.6666666666667","3","2024.6666666666667"
"1","102","1156","10","12","0","90","48","27","""attachedness""","0","3","2024.6666666666667"
"1","105","1328","10","36","22","82","62","13","""anthocyanin""","0","3","2024.6666666666667"
"1","108","1151","7","11","1","11","47","16","""solid""","0","3","2024.6666666666667"
"1","111","1067","0","15","12","52","39","16","""anthocyanin""","55","3","2024.6666666666667"
"1","114","46","9","27","16","34","32","0","""solid""","0","3","2024.6666666666667"
"1","117","557","1","33","12","53","14","15","""attachedness""","0","3","2024.6666666666667"
"1","120","231","1","19","12","70","36","15","""water""","10","3","2024.6666666666667"
"1","123","1097","7","32","22","67","81","18","""solid""","0","3","2024.6666666666667"
"1","126","305","0","16","11","57","82","24","""water""","19.666666666666668","3","2024.6666666666667"
"1","129","985","5","8","23","92","8","45","""sugar""","0","3","2024.6666666666667"
"1","132","563","9","26","28","34","37","47","""carotene""","0","3","2024.6666666666667"
"1","135","2200","7","25","13","28","48","40","""solid""","0","3","2024.6666666666667"
"1","138","875","4","9","11","16","8","26","""anthocyanin""","0","3","2024.6666666666667"
"1","141","1277","10","24","6","19","2","26","""chlorophyll""","0","3","2024.6666666666667"
"1","144","2202","1","37","26","48","79","2","""carotene""","0","3","2024.6666666666667"
"1","147","2452","1","2","4","70","13","31","""water""","0","3","2024.6666666666667"
"1","150","884","7","35","15","75","38","39","""solid""","0","3","2024.6666666666667"
"1","153","485","9","0","18","98","82","25","""chlorophyll""","0","3","2024.6666666666667"
"1","156","1857","2","25","5","3","64","21","""chlorophyll""","0","3","2024.6666666666667"
"1","159","518","8","16","14","44","75","25","""water""","0","3","2024.6666666666667"
"1","162","2487","7","32","27","65","63","37","""water""","0","3","2024.6666666666667"
"1","165","560","4","14","2","64","79","9","""anthocyanin""","0","3","2024.6666666666667"
"1","168","1329","8","14","19","52","49","6","""solid""","0","3","2024.6666666666667"
"1","171","750","0","18","25","45","97","5","""solid""","46.666666666666664","3","2024.6666666666667"
"1","174","1495","1","11","30","90","60","47","""anthocyanin""","0","3","2024.6666666666667"
"1","177","2261","7","29","23","12","100","1","""solid""","0","3","2024.6666666666667"
"1","180","2320","0","21","28","27","30","34","""chlorophyll""","2319.6666666666665","3","2319.6666666666665"
"1","183","977","1","25","3","50","16","46","""water""","965.3333333333334","3","2319.6666666666665"
"1","186","1408","0","2","28","67","73","3","""solid""","1408","3","2319.6666666666665"
"1","189","1094","2","13","2","15","75","21","""attachedness""","0","3","2319.6666666666665"
"1","192","1358","0","11","6","66","20","46","""solid""","1171","3","2319.6666666666665"
"1","195","2344","4","5","14","6","66","9","""attachedness""","0","3","2319.6666666666665"
"1","198","684","0","4","5","72","16","0","""carotene""","684","3","2319.6666666666665"
"1","201","1014","9","3","26","88","20","13","""water""","0","3","2319.6666666666665"
"1","204","343","0","23","13","16","88","45","""chlorophyll""","343","3","2319.6666666666665"
"1","207","396","8","17","25","73","82","47","""sugar""","0","3","2319.6666666666665"
"1","210","803","9","9","5","15","97","31","""sugar""","0","3","2319.6666666666665"
"1","213","604","7","25","12","14","63","19","""sugar""","0","3","2319.6666666666665"
"1","216","1889","2","37","5","57","55","32","""water""","0","3","2319.6666666666665"
"1","219","1619","4","12","21","14","86","5","""solid""","0","3","2319.6666666666665"
"1","222","1904","5","32","7","60","8","45","""carotene""","0","3","2319.6666666666665"
"1","225","2258","1","17","11","19","94","29","""carotene""","0","3","2319.6666666666665"
"1","228","1167","8","14","28","80","46","8","""sugar""","0","3","2319.6666666666665"
"1","231","1483","2","4","15","100","15","29","""chlorophyll""","0","3","2319.6666666666665"
"1","234","2201","8","21","7","100","20","16","""carotene""","0","3","2319.6666666666665"
"1","237","2011","2","7","27","47","46","0","""chlorophyll""","0","3","2319.6666666666665"
"1","240","2487","2","0","4","2","81","45","""attachedness""","0","3","2319.6666666666665"
"1","243","2311","8","18","0","79","76","44","""chlorophyll""","0","3","2319.6666666666665"
"1","246","710","2","14","8","56","99","12","""chlorophyll""","0","3","2319.6666666666665"
"1","249","949","6","35","23","65","7","15","""chlorophyll""","0","3","2319.6666666666665"
"1","252","2269","2","39","23","0","36","37","""carotene""","0","3","2319.6666666666665"
"1","255","1004","2","22","26","51","11","38","""carotene""","784.6666666666666","3","2319.6666666666665"
"1","258","115","8","30","3","10","61","31","""solid""","0","3","2319.6666666666665"
"1","261","129","3","0","16","51","20","32","""water""","0","3","2319.6666666666665"
"1","264","117","4","2","29","88","22","23","""solid""","0","3","2319.6666666666665"
"1","267","2179","4","18","0","65","21","26","""water""","0","3","2319.6666666666665"
"1","270","656","9","19","24","4","7","10","""solid""","0","3","2319.6666666666665"
"1","273","2167","6","4","30","57","39","31","""anthocyanin""","0","3","2319.6666666666665"
"1","276","53","4","20","18","69","22","15","""chlorophyll""","53","3","2319.6666666666665"
"1","279","425","2","33","18","88","72","29","""attachedness""","0","3","2319.6666666666665"
"1","282","2256","0","14","17","59","56","16","""anthocyanin""","190.66666666666666","3","2319.6666666666665"
"1","285","1196","5","4","0","59","21","13","""water""","0","3","2319.6666666666665"
"1","288","651","4","9","30","87","38","47","""water""","0","3","2319.6666666666665"
"1","291","701","6","40","24","89","62","31","""anthocyanin""","0","3","2319.6666666666665"
"1","294","1431","4","30","25","94","30","16","""solid""","0","3","2319.6666666666665"
"1","297","1568","9","17","19","18","24","43","""sugar""","0","3","2319.6666666666665"
"1","300","170","9","7","17","88","0","16","""water""","0","3","2319.6666666666665"
